ID	EN	SP	FR	GE	RU
MissNellieName	Miss Nellie	Señorita Nellie	Mademoiselle Nellie	Frau Nellie	Мисс Нелли
DestinGroup	Destin, FL	Destin, FL	Destin, FL	Destin, FL	Дестин, Флорида
MissNellyDescription	The Miss Nellie is a 62-foot tugboat built in 1982 and later donated for use as an artificial reef. It was deployed in 2022 roughly 21 nautical miles southeast of Destin Florida. The vessel settled upright in 112 feet of water and began attracting marine life almost immediately. Divers and anglers alike now enjoy visiting the site for its accessibility and biodiversity.	La Miss Nellie es un remolcador de 62 pies construido en 1982 y donado como arrecife artificial. Fue hundido en 2022 a unas 21 millas náuticas al sureste de Destin, Florida. El barco quedó erguido en 112 pies de agua y comenzó a atraer vida marina casi de inmediato. Buceadores y pescadores disfrutan visitando el sitio por su accesibilidad y biodiversidad.	La Miss Nellie est un remorqueur de 62 pieds construit en 1982 et donné comme récif artificiel. Il a été déployé en 2022 à environ 21 milles nautiques au sud-est de Destin, Floride. Le navire repose droit dans 112 pieds d'eau et attire rapidement la vie marine. Plongeurs et pêcheurs aiment visiter le site pour son accessibilité et sa biodiversité.	Die Miss Nellie ist ein 62 Fuß langer Schlepper, gebaut 1982 und später als künstliches Riff gespendet. Sie wurde 2022 etwa 21 Seemeilen südöstlich von Destin, Florida versenkt. Das Schiff steht aufrecht in 34 Metern Tiefe und zieht sofort Meeresleben an. Taucher und Angler besuchen die Stelle wegen ihrer Zugänglichkeit und Biodiversität.	Мисс Нелли — 62-футовый буксир, построенный в 1982 году и затопленный как искусственный риф в 2022 году примерно в 21 морской миле к юго-востоку от Дестина, Флорида. Судно стоит вертикально на глубине 34 метра и сразу стало привлекать морскую жизнь. Дайверы и рыболовы любят посещать это место за его доступность и биоразнообразие.
MissJoanneName	Miss Joann	Señorita Joann	Mademoiselle Joann	Frau Joann	Мисс Джоанн
AtlantisName	Atlantis	RMS Atlantis	RMS Atlantis	RMS Atlantis	РМС Атлантис
BrannonDylanName	Brannon Dylan	MV Brannon Dylan	MV Brannon Dylan	MV Brannon Dylan	МВ Брэннон Дилан
MonicaLeeName	Monica Lee	MV Monica Lee	MV Monica Lee	MV Monica Lee	МВ Моника Ли
BigDawgName	Big Dawg	USAF Big Dawg	USAF Big Dawg	USAF Big Dawg	ЮСАФ Биг Дог
MissJoannDescription	The Miss Joann is a 64-foot 45-ton tugboat that was intentionally sunk to serve as an artificial reef off the coast of Destin Florida. She rests about 16 nautical miles from East Pass in 120 feet of water. The vessel settled upright on the seafloor and quickly began attracting marine life. Divers now visit the site regularly to explore the wreck and observe the reef ecosystem it supports.	La Miss Joann es un remolcador de 64 pies y 45 toneladas hundido intencionalmente como arrecife artificial frente a la costa de Destin, Florida. Se encuentra a 16 millas náuticas del East Pass a 120 pies de profundidad. El barco quedó erguido y rápidamente comenzó a atraer vida marina. Buceadores visitan el sitio regularmente para explorar el naufragio y observar el ecosistema del arrecife.	La Miss Joann est un remorqueur de 64 pieds et 45 tonnes coulé intentionnellement comme récif artificiel au large de Destin, Floride. Elle repose à 16 milles nautiques de East Pass dans 120 pieds d'eau. Le navire s'est posé droit et attire rapidement la vie marine. Les plongeurs visitent régulièrement le site pour explorer l'épave et observer l'écosystème du récif.	Die Miss Joann ist ein 64 Fuß langer, 45 Tonnen schwerer Schlepper, der absichtlich als künstliches Riff vor Destin, Florida versenkt wurde. Sie liegt etwa 16 Seemeilen vom East Pass entfernt in 36 Metern Tiefe. Das Schiff steht aufrecht und zieht schnell Meeresleben an. Taucher besuchen die Stelle regelmäßig, um das Wrack zu erkunden und das Riff-Ökosystem zu beobachten.	Мисс Джоанн — 64-футовый буксир весом 45 тонн, намеренно затопленный как искусственный риф у побережья Дестина, Флорида, в 16 морских милях от Ист-Пасс на глубине 36 метров. Судно стоит вертикально и быстро привлекает морскую жизнь. Дайверы регулярно посещают место, чтобы исследовать затонувшее судно и наблюдать за рифовой экосистемой.
BrannonDylanDescription	The Brannon Dylan is a 65-foot steel tugboat that was deployed as an artificial reef in 2016. It lies 17 nautical miles south of Destin Florida in about 120 feet of water. The structure provides excellent shelter for marine species and is a favorite destination for divers. The wreck has remained stable and continues to grow as a vibrant habitat.	El Brannon Dylan es un remolcador de acero de 65 pies hundido como arrecife artificial en 2016, a 17 millas náuticas al sur de Destin, Florida, en unos 120 pies de agua. La estructura ofrece refugio para especies marinas y es un destino favorito para buceadores. El naufragio sigue estable y continúa creciendo como hábitat vibrante.	Le Brannon Dylan est un remorqueur en acier de 65 pieds, coulé comme récif artificiel en 2016 à 17 milles nautiques au sud de Destin, Floride, dans environ 120 pieds d'eau. La structure offre un excellent abri pour les espèces marines et est une destination favorite des plongeurs. L'épave reste stable et continue de croître comme habitat dynamique.	Die Brannon Dylan ist ein 65 Fuß langer Stahlschlepper, der 2016 als künstliches Riff vor Destin versenkt wurde, 17 Seemeilen südlich von Destin in etwa 36 Metern Tiefe. Die Struktur bietet hervorragenden Schutz für Meeresarten und ist ein beliebtes Ziel für Taucher. Das Wrack bleibt stabil und wächst weiter als lebendiger Lebensraum.	Брэннон Дилан — 65-футовый стальной буксир, затопленный в 2016 году как искусственный риф в 17 морских милях к югу от Дестина, на глубине около 36 метров. Структура обеспечивает отличное убежище для морских видов и является любимым местом для дайверов. Затонувшее судно остается стабильным и продолжает развиваться как яркий биотоп.
BigDawgDescription	The Big Dawg is a 93-foot retired Air Force vessel that was sunk in 2021 as an artificial reef. It is located about 14 nautical miles southwest of Destin Pass in 104 feet of water. The top of the structure is reachable at 69 feet making it accessible to many divers. Within minutes of deployment marine life including sea turtles began to appear.	El Big Dawg es un buque retirado de la Fuerza Aérea de 93 pies hundido como arrecife artificial en 2021. Está ubicado a unas 14 millas náuticas al suroeste de Destin Pass en 104 pies de agua. La parte superior es accesible a 69 pies, lo que lo hace accesible para muchos buceadores. A los pocos minutos de su despliegue, comenzaron a aparecer vida marina, incluidas tortugas marinas.	Le Big Dawg est un navire de l'US Air Force de 93 pieds, coulé en 2021 comme récif artificiel. Il se trouve à environ 14 milles nautiques au sud-ouest de Destin Pass dans 104 pieds d'eau. Le sommet de la structure est accessible à 69 pieds, ce qui le rend accessible à de nombreux plongeurs. Quelques minutes après le déploiement, la vie marine, y compris les tortues de mer, a commencé à apparaître.	Die Big Dawg ist ein 93 Fuß langes, ausgemustertes Luftwaffenschiff, das 2021 als künstliches Riff versenkt wurde, etwa 14 Seemeilen südwestlich von Destin Pass in 32 Metern Tiefe. Die Spitze der Struktur ist bei 21 Metern erreichbar und somit für viele Taucher zugänglich. Minuten nach dem Versenken tauchten Meereslebewesen, darunter Meeresschildkröten, auf.	Биг Дог — 93-футовое списанное судно ВВС США, затопленное в 2021 году как искусственный риф в 14 морских милях к юго-западу от Дестин-Пасс на глубине 32 метра. Верхняя часть доступна на глубине 21 метр, что делает место доступным для многих дайверов. Через несколько минут после затопления начали появляться морские обитатели, включая морских черепах.
MonicaLeeDescription	The Monica Lee is a 50-foot steel-hulled tugboat intentionally sunk to enhance reef development. She lies in the Gulf of Mexico off the coast of Destin Florida and provides shelter for fish and coral. The wreck has become a popular dive site offering a compact and accessible structure. It plays a key role in local conservation and tourism efforts.	La Monica Lee es un remolcador de acero de 50 pies hundido intencionalmente para mejorar el desarrollo del arrecife. Se encuentra en el Golfo de México frente a la costa de Destin, Florida, y proporciona refugio para peces y corales. El naufragio se ha convertido en un sitio de buceo popular, ofreciendo una estructura compacta y accesible. Juega un papel clave en la conservación y el turismo local.	La Monica Lee est un remorqueur en acier de 50 pieds coulé intentionnellement pour favoriser le développement du récif. Elle repose dans le golfe du Mexique au large de Destin, Floride, et offre un abri aux poissons et aux coraux. L'épave est devenue un site de plongée populaire, offrant une structure compacte et accessible. Elle joue un rôle clé dans la conservation et le tourisme local.	Die Monica Lee ist ein 50 Fuß langer Stahlschlepper, der absichtlich zur Förderung der Riffentwicklung versenkt wurde. Sie liegt im Golf von Mexiko vor der Küste von Destin, Florida, und bietet Schutz für Fische und Korallen. Das Wrack ist ein beliebter Tauchplatz mit kompakter und zugänglicher Struktur. Es spielt eine wichtige Rolle im lokalen Naturschutz und Tourismus.	Моника Ли — 50-футовый стальной буксир, намеренно затопленный для развития рифа. Находится в Мексиканском заливе у берегов Дестина, Флорида, и служит убежищем для рыб и кораллов. Затонувшее судно стало популярным местом для дайвинга, предлагая компактную и доступную структуру. Играет важную роль в местной охране природы и туризме.
